state,model,mae,rmse,mape
Alabama,SARIMA,6274374.924536303,9673106.754936421,3.0056618233261214
Alabama,Prophet,6844934.835443929,8621352.782823542,3.293112974117244
Alabama,XGBoost,5810890.412500005,9528564.859018352,2.7547325016051083
Alabama,LightGBM,14324223.681331702,17327795.61822601,6.9581829571889475
Alabama,LSTM,21048755.95245042,22082797.575451307,10.223192916075671
Arizona,SARIMA,4892010.873867445,6740829.307192691,2.1178123506538635
Arizona,Prophet,10111923.786998574,11194055.725632219,4.384288719468064
Arizona,XGBoost,22209153.275000017,24440123.014738265,9.62948826294682
Arizona,LightGBM,15857306.184463385,17183094.32349322,6.874996551344541
Arizona,LSTM,26626951.46030646,26867420.735731803,11.556111894028279
Arkansas,SARIMA,2358040.0745837577,3544386.470937751,2.07710818456346
Arkansas,Prophet,4743069.904201359,5432358.8722083615,4.182222204176589
Arkansas,XGBoost,4242615.125000009,4962223.365192637,3.7332874489909664
Arkansas,LightGBM,5648233.534910815,7050547.472429529,4.9607105438137085
Arkansas,LSTM,6142400.924291732,6271032.26531717,5.417693509973068
California,SARIMA,26602914.366100237,34404634.93087463,3.0160473559898553
California,Prophet,37071428.96342397,48603494.59583384,4.205342961270439
California,XGBoost,45617075.06249997,54480388.38601969,5.193484847296282
California,LightGBM,37652748.4779882,48521285.783388585,4.267620324746614
California,LSTM,72824093.20439336,76452160.71652216,8.335045268082933
Colorado,SARIMA,5349130.270005673,7810652.219394299,2.965201991157221
Colorado,Prophet,8500735.444359146,9879155.769751573,4.746184202454676
Colorado,XGBoost,10952563.912500016,13756294.088070942,6.1013490701735575
Colorado,LightGBM,10355686.26468864,13188247.865087831,5.763757237370754
Colorado,LSTM,6236192.336257767,7277624.6593867615,3.4729624888113264
Connecticut,SARIMA,2215498.870980788,2929351.1016866006,2.411575259052401
Connecticut,Prophet,3324540.5815429855,3970511.8665555976,3.6072092210735227
Connecticut,XGBoost,1497985.3000000045,2018630.838318479,1.6102944830569448
Connecticut,LightGBM,4058129.243530581,5321797.420081532,4.3674861415612485
Connecticut,LSTM,1965685.9418149125,2207768.1380929328,2.1446574551881947
Florida,SARIMA,38401456.35567045,44167205.608943954,5.011952467480558
Florida,Prophet,21468527.556712568,36908873.68194202,2.7157285126804704
Florida,XGBoost,42443344.962500006,65604662.316919394,5.420372820493204
Florida,LightGBM,46040445.27601081,62135676.00162767,5.934710218447742
Florida,LSTM,18851611.4324605,34939312.31398901,2.3645800397019903
Georgia,SARIMA,13737478.73172418,17980497.010533415,3.611860663676131
Georgia,Prophet,10937817.052321017,15955269.81926367,2.849971388096472
Georgia,XGBoost,5267101.074999988,10261235.307711197,1.3429478504052126
Georgia,LightGBM,11723960.838194959,18511952.13762877,3.032802491273509
Georgia,LSTM,12711326.840742268,18327797.931275986,3.305166032872399
Illinois,SARIMA,7651137.384988017,11014513.507377556,2.3056624156490533
Illinois,Prophet,17001740.860413782,18724098.869133677,5.159697428731577
Illinois,XGBoost,14151695.987499997,17040842.49134417,4.273665018347636
Illinois,LightGBM,14493352.269938558,17107900.954678886,4.380223213365313
Illinois,LSTM,4069942.9796227217,5548401.911789643,1.2236185294128044
Indiana,SARIMA,5246099.619658403,7174944.798989108,2.327152249853345
Indiana,Prophet,8630012.478185974,9777895.953455184,3.8248642840254936
Indiana,XGBoost,6081851.712500006,7369996.358491696,2.6849461533022874
Indiana,LightGBM,6055393.841488212,9012356.226390883,2.6573170846478114
Indiana,LSTM,11618034.377283908,12251610.116641128,5.150335444177401
Iowa,SARIMA,1962121.0301259216,3016837.531229103,1.6580467397178715
Iowa,Prophet,5685625.770515928,6073218.25892601,4.804788637464408
Iowa,XGBoost,7834087.112500008,8491775.261993475,6.621326588975626
Iowa,LightGBM,7147710.268135481,7869726.125450729,6.04087943703095
Iowa,LSTM,1820839.3719910923,1969045.8179073555,1.5384966437395124
Kansas,SARIMA,1692581.9765862636,2739310.0855475822,1.799034357613374
Kansas,Prophet,4165495.3788739666,4751641.85902942,4.421204211766566
Kansas,XGBoost,6037220.862500016,6574454.055231609,6.4206505470712605
Kansas,LightGBM,3740404.5423019137,4101988.2574413633,3.9747239609761635
Kansas,LSTM,955714.7394699864,1199353.8528249543,1.0181029212921184
Kentucky,SARIMA,4155292.460919276,6010053.986218571,2.3599557636751936
Kentucky,Prophet,5544773.333453614,6732175.048067564,3.1489681944674777
Kentucky,XGBoost,6022409.174999997,7177228.808102918,3.417385204321029
Kentucky,LightGBM,9305605.337659601,11491806.475099334,5.2707455329586494
Kentucky,LSTM,7830182.991551012,8450916.621623326,4.450972394963914
Louisiana,SARIMA,5952226.855358731,9986905.41731339,3.1444948522785605
Louisiana,Prophet,6973363.336066179,8836106.481283369,3.71881569186326
Louisiana,XGBoost,6296272.987500001,9279962.766357323,3.3310516694612673
Louisiana,LightGBM,8609148.08667146,12039724.40180561,4.5662264787375975
Louisiana,LSTM,4747127.991842274,5169555.356188685,2.5583864034936394
Maine,SARIMA,2020204.0455580251,2527166.974926085,4.313196560463002
Maine,Prophet,3251654.095201238,3623101.3879509005,6.973500297784482
Maine,XGBoost,242496.9249999998,310972.71855040727,0.522041548986712
Maine,LightGBM,2041719.0827682568,2474815.0727618854,4.374519209060752
Maine,LSTM,4305696.660688891,4509988.716507472,9.238489886101522
Maryland,SARIMA,4615269.675744835,5545212.376914867,2.804666009978459
Maryland,Prophet,5488305.17245698,7194461.800361224,3.315447167117605
Maryland,XGBoost,5048913.400000017,7163967.709988686,3.027844147052224
Maryland,LightGBM,5224593.335397847,7570251.111989608,3.1287119829543353
Maryland,LSTM,14300524.516129635,15211782.652926119,8.701689875945434
Massachusetts,SARIMA,4736750.923109133,6586508.172803993,2.4989324524020646
Massachusetts,Prophet,8355391.221187182,9522334.594156861,4.4239414435423425
Massachusetts,XGBoost,5465597.96250001,6779292.429616517,2.8775911735389
Massachusetts,LightGBM,12200069.866901059,14416802.099054622,6.438109124631213
Massachusetts,LSTM,6868341.718121402,7570808.299529197,3.6829018843200174
Michigan,SARIMA,6542912.908982903,8869902.336018462,2.2184533122112713
Michigan,Prophet,11989681.92731738,13939077.07443552,4.075295794306745
Michigan,XGBoost,3038456.662500024,3816471.8363326243,1.0345199232833142
Michigan,LightGBM,5653202.807213359,7976416.198908804,1.9071800795882012
Michigan,LSTM,21300921.970275227,22694318.663431793,7.258643285487152
Minnesota,SARIMA,3470098.918712586,4930962.210725615,2.1958351451852662
Minnesota,Prophet,7715548.411830105,8342308.977481617,4.8779509713410745
Minnesota,XGBoost,2081797.3874999993,2767364.07114895,1.3142734742979558
Minnesota,LightGBM,5840998.1755873,6879608.728505503,3.689680478759049
Minnesota,LSTM,8169899.649275847,8209629.878954764,5.1618107624713
Mississippi,SARIMA,5061199.188491777,6387248.911867746,4.042114348527264
Mississippi,Prophet,12305167.45590074,12906043.651565867,9.895368801934513
Mississippi,XGBoost,1163634.8125000019,2059005.8029344543,0.9168861512382748
Mississippi,LightGBM,2483288.194071982,4090545.124515658,1.9626183435131255
Mississippi,LSTM,4549611.485476777,5179214.618349608,3.641352871707562
Missouri,SARIMA,3573758.729829844,5819077.569236864,1.7833840732978792
Missouri,Prophet,7761780.447283782,8647910.771248454,3.873942939703221
Missouri,XGBoost,5190793.512499992,5640226.977683139,2.591110313874507
Missouri,LightGBM,7430906.67342234,8082376.711023295,3.7094461966844516
Missouri,LSTM,16979957.227200884,16999075.878264368,8.475470788781157
Nebraska,SARIMA,4690604.101843669,4841553.204042911,7.225664073170508
Nebraska,Prophet,7630742.880349074,7678579.146098428,11.755070022594772
Nebraska,XGBoost,5193946.2124999985,5804652.960664209,8.011892129766549
Nebraska,LightGBM,2011014.5128002586,2545285.4142311453,3.0889235718796417
Nebraska,LSTM,886640.681847373,1229042.9835610208,1.3789858469006842
Nevada,SARIMA,3128937.8029895704,4217808.790891965,2.98647912708239
Nevada,Prophet,4642210.08411737,5879181.562808435,4.4419337203015425
